"peptide","Count","antibodys"
"PEP1360",6,"PPB-68.(ref), PPB-42, PPB-45, PPB-69, PPB-70, PPB-254"
"PEP1370",6,"PPB-68.(ref), PPB-42, PPB-45, PPB-69, PPB-70, PPB-254"
"PEP1373",6,"PPB-68.(ref), PPB-42, PPB-69, PPB-70, PPB-253, PPB-254"
"PEP1375",6,"PPB-68.(ref), PPB-42, PPB-45, PPB-69, PPB-70, PPB-254"
"PEP1617",5,"PPB-42, PPB-45, PPB-69, PPB-70, PPB-254"
"PEP1362",4,"PPB-68.(ref), PPB-42, PPB-45, PPB-69"
"PEP1366",4,"PPB-68.(ref), PPB-42, PPB-70, PPB-254"
"PEP1773",4,"PPB-45, PPB-70, PPB-253, PPB-254"
"PEP1359",3,"PPB-68.(ref), PPB-42, PPB-45"
"PEP1566",3,"PPB-45, PPB-70, PPB-254"
"PEP1621",3,"PPB-68.(ref), PPB-42, PPB-69"
"PEP1645",3,"PPB-68.(ref), PPB-42, PPB-253"
"PEP1693",3,"PPB-45, PPB-69, PPB-253"
"PEP1824",3,"PPB-45, PPB-70, PPB-254"
"PEP1364",2,"PPB-68.(ref), PPB-45"
"PEP1365",2,"PPB-68.(ref), PPB-45"
"PEP1368",2,"PPB-45, PPB-69"
"PEP1371",2,"PPB-68.(ref), PPB-45"
"PEP1374",2,"PPB-42, PPB-45"
"PEP1635",2,"PPB-68.(ref), PPB-42"
"PEP1638",2,"PPB-68.(ref), PPB-253"
"PEP1646",2,"PPB-68.(ref), PPB-42"
"PEP1648",2,"PPB-45, PPB-253"
"PEP1654",2,"PPB-68.(ref), PPB-42"
"PEP1661",2,"PPB-68.(ref), PPB-42"
"PEP1662",2,"PPB-68.(ref), PPB-42"
"PEP1663",2,"PPB-68.(ref), PPB-42"
"PEP1669",2,"PPB-68.(ref), PPB-42"
"PEP1685",2,"PPB-68.(ref), PPB-42"
"PEP1695",2,"PPB-42, PPB-45"
"PEP1738",2,"PPB-68.(ref), PPB-42"
"PEP1774",2,"PPB-42, PPB-45"
"PEP1788",2,"PPB-69, PPB-253"
"PEP1794",2,"PPB-68.(ref), PPB-42"
"PEP1833",2,"PPB-42, PPB-253"
"PEP1859",2,"PPB-42, PPB-45"
"PEP1973",2,"PPB-68.(ref), PPB-42"
"PEP1975",2,"PPB-42, PPB-69"
"PEP1361",1,"PPB-45"
"PEP1363",1,"PPB-69"
"PEP1367",1,"PPB-45"
"PEP1615",1,"PPB-45"
"PEP1618",1,"PPB-42"
"PEP1619",1,"PPB-45"
"PEP1620",1,"PPB-68.(ref)"
"PEP1623",1,"PPB-45"
"PEP1625",1,"PPB-45"
"PEP1626",1,"PPB-42"
"PEP1627",1,"PPB-42"
"PEP1628",1,"PPB-45"
"PEP1631",1,"PPB-45"
"PEP1634",1,"PPB-68.(ref)"
"PEP1637",1,"PPB-68.(ref)"
"PEP1639",1,"PPB-45"
"PEP1640",1,"PPB-45"
"PEP1641",1,"PPB-45"
"PEP1647",1,"PPB-68.(ref)"
"PEP1649",1,"PPB-45"
"PEP1656",1,"PPB-45"
"PEP1664",1,"PPB-45"
"PEP1665",1,"PPB-45"
"PEP1666",1,"PPB-68.(ref)"
"PEP1667",1,"PPB-42"
"PEP1668",1,"PPB-45"
"PEP1671",1,"PPB-68.(ref)"
"PEP1672",1,"PPB-45"
"PEP1677",1,"PPB-42"
"PEP1678",1,"PPB-68.(ref)"
"PEP1680",1,"PPB-42"
"PEP1690",1,"PPB-42"
"PEP1698",1,"PPB-42"
"PEP1699",1,"PPB-42"
"PEP1721",1,"PPB-42"
"PEP1723",1,"PPB-45"
"PEP1727",1,"PPB-42"
"PEP1729",1,"PPB-68.(ref)"
"PEP1734",1,"PPB-253"
"PEP1735",1,"PPB-42"
"PEP1742",1,"PPB-42"
"PEP1745",1,"PPB-254"
"PEP1746",1,"PPB-45"
"PEP1751",1,"PPB-45"
"PEP1752",1,"PPB-253"
"PEP1769",1,"PPB-42"
"PEP1772",1,"PPB-45"
"PEP1777",1,"PPB-45"
"PEP1778",1,"PPB-42"
"PEP1784",1,"PPB-45"
"PEP1786",1,"PPB-42"
"PEP1798",1,"PPB-45"
"PEP1799",1,"PPB-42"
"PEP1801",1,"PPB-42"
"PEP1808",1,"PPB-45"
"PEP1809",1,"PPB-45"
"PEP1810",1,"PPB-45"
"PEP1814",1,"PPB-42"
"PEP1816",1,"PPB-45"
"PEP1817",1,"PPB-42"
"PEP1820",1,"PPB-42"
"PEP1823",1,"PPB-45"
"PEP1826",1,"PPB-253"
"PEP1829",1,"PPB-253"
"PEP1837",1,"PPB-68.(ref)"
"PEP1841",1,"PPB-45"
"PEP1842",1,"PPB-68.(ref)"
"PEP1844",1,"PPB-45"
"PEP1847",1,"PPB-45"
"PEP1854",1,"PPB-42"
"PEP1856",1,"PPB-69"
"PEP1860",1,"PPB-45"
"PEP1875",1,"PPB-45"
"PEP1879",1,"PPB-45"
"PEP1883",1,"PPB-45"
"PEP1885",1,"PPB-45"
"PEP1887",1,"PPB-68.(ref)"
"PEP1908",1,"PPB-42"
"PEP1918",1,"PPB-45"
"PEP1934",1,"PPB-68.(ref)"
"PEP1971",1,"PPB-45"
"PEP1974",1,"PPB-42"
"PEP1978",1,"PPB-42"
